Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,430.9200134277344,433.8800048828125,430.1700134277344,433.79998779296875,417.44830322265625,76104300
2023-06-13,435.32000732421875,437.3299865722656,434.6300048828125,436.6600036621094,420.2005615234375,95899700
2023-06-14,437.010009765625,439.05999755859375,433.5899963378906,437.17999267578125,420.700927734375,100612100
2023-06-15,436.3299865722656,443.8999938964844,436.2300109863281,442.6000061035156,425.9166564941406,110303100
2023-06-16,443.0199890136719,443.6099853515625,438.9700012207031,439.4599914550781,424.46588134765625,114165800
2023-06-20,437.45001220703125,438.3699951171875,435.0299987792969,437.17999267578125,422.263671875,76160400
2023-06-21,436.1600036621094,436.989990234375,434.3299865722656,434.94000244140625,420.1000671386719,76982300
2023-06-22,433.95001220703125,436.6199951171875,433.6000061035156,436.510009765625,421.61651611328125,70637200
2023-06-23,432.92999267578125,435.05999755859375,432.4700012207031,433.2099914550781,418.4291076660156,92074500
2023-06-26,432.6199951171875,434.6099853515625,431.19000244140625,431.44000244140625,416.71954345703125,72823600
2023-06-27,432.3500061035156,436.80999755859375,431.8800048828125,436.1700134277344,421.2881774902344,72813700
2023-06-28,435.04998779296875,437.44000244140625,434.4100036621094,436.3900146484375,421.50067138671875,75636000
2023-06-29,435.9599914550781,438.2799987792969,435.5400085449219,438.1099853515625,423.16192626953125,67882300
2023-06-30,441.44000244140625,444.29998779296875,441.1099853515625,443.2799987792969,428.155517578125,104964000
2023-07-03,442.9200134277344,444.0799865722656,442.6300048828125,443.7900085449219,428.64813232421875,32793400
2023-07-05,441.9100036621094,443.8900146484375,441.8999938964844,443.1300048828125,428.0106506347656,58418400
2023-07-06,439.4200134277344,440.1000061035156,437.05999755859375,439.6600036621094,424.6590881347656,80658300
2023-07-07,438.6300048828125,442.6400146484375,438.29998779296875,438.54998779296875,423.5869140625,86134200
2023-07-10,438.17999267578125,439.8399963378906,437.5899963378906,439.6600036621094,424.6590881347656,62443500
2023-07-11,440.45001220703125,442.9700012207031,439.44000244140625,442.4599914550781,427.36346435546875,64463800
2023-07-12,446.3900146484375,447.4800109863281,444.9100036621094,446.0199890136719,430.8020324707031,91924500
2023-07-13,447.8999938964844,450.3800048828125,447.45001220703125,449.55999755859375,434.2212829589844,72425200
2023-07-14,450.4800109863281,451.3599853515625,448.489990234375,449.2799987792969,433.9508056640625,69815800
2023-07-17,449.1300048828125,451.92999267578125,449.0799865722656,450.8399963378906,435.4576110839844,52680200
2023-07-18,450.5,454.8599853515625,450.04998779296875,454.19000244140625,438.69329833984375,80668200
2023-07-19,455.010009765625,456.42999267578125,454.1099853515625,455.20001220703125,439.66888427734375,65891700
2023-07-20,454.1700134277344,455.1000061035156,451.44000244140625,452.17999267578125,436.7518615722656,70591600
2023-07-21,453.9599914550781,454.1700134277344,452.1700134277344,452.17999267578125,436.7518615722656,71275600
2023-07-24,453.3699951171875,455.0400085449219,452.29998779296875,454.20001220703125,438.70294189453125,54023400
2023-07-25,453.9200134277344,456.739990234375,453.8699951171875,455.44000244140625,439.900634765625,55191200
2023-07-26,454.4700012207031,456.989990234375,453.3800048828125,455.510009765625,439.9682312011719,71052900
2023-07-27,459.0199890136719,459.44000244140625,451.54998779296875,452.489990234375,437.0512390136719,92194400
2023-07-28,455.8800048828125,457.7799987792969,452.489990234375,456.9200134277344,441.3301086425781,80011800
2023-07-31,457.4100036621094,458.1600036621094,456.04998779296875,457.7900085449219,442.1704406738281,62040400
2023-08-01,456.2699890136719,457.25,455.489990234375,456.4800109863281,440.9051513671875,55291500
2023-08-02,453.25,453.5199890136719,449.3500061035156,450.1300048828125,434.7718200683594,93933400
2023-08-03,448.0400085449219,450.7900085449219,447.3699951171875,448.8399963378906,433.52581787109375,64276100
2023-08-04,450.7200012207031,452.8999938964844,446.2699890136719,446.80999755859375,431.5650939941406,100128900
